# branch:      feature-nnp-chebyshev
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# MPI ranks:   1  (fixed)
# N_molecules: 64  (fixed)
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per OMP count
# omp_threads,mpi_ranks,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,0.273980,27.461
1,1,1,2,0.273770,27.439
1,1,1,3,0.276400,27.704
1,1,1,4,0.273450,27.409
1,1,1,5,0.274720,27.537
2,1,2,1,0.154960,15.559
2,1,2,2,0.155120,15.576
2,1,2,3,0.155060,15.568
2,1,2,4,0.155060,15.571
2,1,2,5,0.154890,15.553
4,1,4,1,0.091710,9.235
4,1,4,2,0.091570,9.219
4,1,4,3,0.091900,9.254
4,1,4,4,0.091720,9.234
4,1,4,5,0.091860,9.249
8,1,8,1,0.061560,6.232
8,1,8,2,0.061490,6.226
8,1,8,3,0.061490,6.213
8,1,8,4,0.061360,6.201
8,1,8,5,0.061450,6.210
16,1,16,1,0.048790,4.944
16,1,16,2,0.048950,4.959
16,1,16,3,0.048900,4.956
16,1,16,4,0.049010,4.969
16,1,16,5,0.049080,4.973
