# branch:      feature-nnp-chebyshev
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.037670,4.109
64,2,0.035110,3.709
64,3,0.036350,3.890
64,4,0.037110,3.922
64,5,0.040200,4.262
256,1,0.053830,6.036
256,2,0.052700,5.934
256,3,0.057300,6.398
256,4,0.051830,5.837
256,5,0.049260,5.625
512,1,0.082000,10.433
512,2,0.071270,9.334
512,3,0.072710,9.736
512,4,0.081890,10.420
512,5,0.076310,9.865
1024,1,0.125850,12.872
1024,2,0.112630,11.410
1024,3,0.116680,11.833
1024,4,0.117850,11.941
1024,5,0.123740,12.539
2048,1,0.209490,21.205
2048,2,0.215630,21.963
2048,3,0.211260,21.396
2048,4,0.209920,21.415
2048,5,0.211750,21.435
4096,1,0.404820,40.734
4096,2,0.400820,40.325
4096,3,0.411670,41.449
4096,4,0.410910,41.416
4096,5,0.405290,40.788
