# branch:    feature-nnp-native-spline-omp
# exe:       /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks: 1  (fixed)
# steps:     20
# reps:      5 timed (+1 discarded warm-up) per point
# omp_threads,n_molecules,mpi_ranks,total_cores,n_reps,time_per_step_mean_s,time_per_step_std_s,time_per_step_min_s,walltime_mean_s,walltime_std_s,walltime_min_s
1,64,1,1,5,0.214890,0.004595,0.212550,4.360800,0.086309,4.317000
1,256,1,1,5,0.647380,0.002524,0.645850,13.357000,0.051029,13.326000
1,512,1,1,5,1.147030,0.003968,1.143900,24.448400,0.078513,24.384000
1,1024,1,1,5,2.465740,0.021026,2.453850,49.363600,0.421317,49.129000
1,2048,1,1,5,5.289800,0.038780,5.249800,105.853200,0.776336,105.058000
2,64,1,2,5,0.127280,0.000271,0.126900,2.609600,0.005459,2.601000
2,256,1,2,5,0.386280,0.000413,0.385850,8.138800,0.009731,8.129000
2,512,1,2,5,0.683660,0.000356,0.683200,15.217000,0.057537,15.180000
2,1024,1,2,5,1.464840,0.003979,1.460150,29.346600,0.079664,29.253000
2,2048,1,2,5,3.121550,0.013019,3.110100,62.486200,0.258585,62.262000
4,64,1,4,5,0.080010,0.000268,0.079650,1.660200,0.003347,1.658000
4,256,1,4,5,0.241390,0.000396,0.240950,5.228400,0.013164,5.215000
4,512,1,4,5,0.430630,0.000333,0.430150,10.117000,0.013304,10.108000
4,1024,1,4,5,0.915870,0.003035,0.913600,18.362600,0.061974,18.310000
