# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# N_molecules: 1024
# steps:       50
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,8.010340,400.575
1,1,1,2,7.916900,395.891
1,1,1,3,7.968900,398.498
1,1,1,4,8.038660,401.986
1,1,1,5,7.985040,399.304
2,1,2,1,4.302980,215.200
2,1,2,2,4.170320,208.578
2,1,2,3,4.303740,215.239
2,1,2,4,4.336920,216.898
2,1,2,5,4.274320,213.768
4,1,4,1,2.136800,106.903
4,1,4,2,2.144220,107.275
4,1,4,3,2.141000,107.113
4,1,4,4,2.137360,106.931
4,1,4,5,2.229700,111.550
8,1,8,1,1.131620,56.644
8,1,8,2,1.109480,55.537
8,1,8,3,1.115780,55.853
8,1,8,4,1.084380,54.271
8,1,8,5,1.144400,57.272
16,1,16,1,0.542200,27.173
16,1,16,2,0.542180,27.174
16,1,16,3,0.543980,27.263
16,1,16,4,0.541740,27.155
16,1,16,5,0.540980,27.113
19,1,19,1,0.470840,23.609
19,1,19,2,0.476760,23.900
19,1,19,3,0.467520,23.435
19,1,19,4,0.462360,23.180
19,1,19,5,0.468780,23.499
32,1,32,1,0.292100,14.678
32,1,32,2,0.304260,15.286
32,1,32,3,0.295700,14.858
32,1,32,4,0.298400,14.995
32,1,32,5,0.292840,14.716
38,1,38,1,0.273620,13.759
38,1,38,2,0.272640,13.709
38,1,38,3,0.273720,13.764
38,1,38,4,0.273620,13.762
38,1,38,5,0.274120,13.787
76,1,76,1,0.195120,9.921
76,1,76,2,0.196720,10.019
76,1,76,3,0.191080,9.738
76,1,76,4,0.198360,10.088
76,1,76,5,0.198360,10.091
