# branch:    feature-nnp-native-spline-omp
# exe:       /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks: 1  (fixed)
# steps:     20
# reps:      5 timed (+1 discarded warm-up) per point
# omp_threads,n_molecules,mpi_ranks,total_cores,n_reps,time_per_step_mean_s,time_per_step_std_s,time_per_step_min_s,walltime_mean_s,walltime_std_s,walltime_min_s
1,64,1,1,5,0.214010,0.000942,0.213050,4.542200,0.454560,4.326000
1,256,1,1,5,0.646840,0.001006,0.645750,13.348600,0.018902,13.327000
1,512,1,1,5,1.147060,0.003587,1.144100,24.447400,0.065531,24.400000
1,1024,1,1,5,2.464440,0.003241,2.460400,49.337600,0.067408,49.259000
1,2048,1,1,5,5.280910,0.021159,5.256100,105.679000,0.423077,105.183000
2,64,1,2,5,0.127890,0.000946,0.127000,2.621600,0.017911,2.605000
2,256,1,2,5,0.387020,0.000921,0.386100,8.148000,0.018601,8.129000
2,512,1,2,5,0.685370,0.000846,0.684350,15.214800,0.014237,15.198000
2,1024,1,2,5,1.467600,0.002817,1.463600,29.402400,0.055824,29.323000
2,2048,1,2,5,3.122000,0.004481,3.114900,62.497800,0.088058,62.356000
4,64,1,4,5,0.079990,0.000295,0.079750,1.659200,0.006140,1.649000
4,256,1,4,5,0.242140,0.000660,0.241300,5.243600,0.012442,5.224000
4,512,1,4,5,0.430760,0.002200,0.427600,10.118400,0.045075,10.052000
