# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# N_molecules: 2048
# steps:       50
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,13.637540,matches
1,1,1,1,27.403120,1370.211
1,1,1,2,13.649800,matches
1,1,1,2,27.344260,1367.283
1,1,1,3,13.658540,matches
1,1,1,3,27.383840,1369.246
1,1,1,4,27.322320,1366.182
1,1,1,5,27.361860,1368.163
2,1,2,1,14.215880,710.870
2,1,2,2,14.212660,710.718
2,1,2,3,14.232920,711.728
2,1,2,4,14.212000,710.692
2,1,2,5,14.240300,712.091
4,1,4,1,7.346640,367.421
4,1,4,2,7.331340,366.638
4,1,4,3,7.346880,367.425
