# branch:      feature-nnp-native-spline-omp
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# N_molecules: 256
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,2,2,1,0.395850,39.999
1,2,2,2,0.392650,39.674
1,2,2,3,0.392870,39.698
1,2,2,4,0.393330,39.742
1,2,2,5,0.393060,39.714
2,2,4,1,0.219390,22.356
2,2,4,2,0.220010,22.418
2,2,4,3,0.219070,22.324
2,2,4,4,0.220670,22.485
2,2,4,5,0.220010,22.409
4,2,8,1,0.121390,12.546
4,2,8,2,0.121120,12.538
4,2,8,3,0.121560,12.574
4,2,8,4,0.121780,12.595
4,2,8,5,0.122210,12.642
8,2,16,1,0.063890,6.799
8,2,16,2,0.063920,6.811
8,2,16,3,0.064020,6.814
8,2,16,4,0.064050,6.829
8,2,16,5,0.064120,6.833
16,2,32,1,0.035500,3.968
16,2,32,2,0.035450,3.966
16,2,32,3,0.035580,3.985
16,2,32,4,0.035380,3.956
16,2,32,5,0.035610,3.982
