# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# N_molecules: 1024
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,7.876750,787.728
1,1,1,2,7.880070,788.060
1,1,1,3,7.933430,793.396
1,1,1,4,7.882490,788.301
1,1,1,5,7.909810,791.033
2,1,2,1,4.229410,423.010
2,1,2,2,4.238620,423.925
2,1,2,3,4.300670,430.128
2,1,2,4,4.306540,430.715
2,1,2,5,4.233350,423.399
4,1,4,1,2.132280,213.297
4,1,4,2,2.205190,220.582
4,1,4,3,2.121170,212.182
4,1,4,4,2.293220,229.386
4,1,4,5,2.130580,213.123
8,1,8,1,1.142400,114.307
8,1,8,2,1.140620,114.117
8,1,8,3,1.145500,114.617
8,1,8,4,1.104400,110.505
8,1,8,5,1.113650,111.430
16,1,16,1,0.533870,53.445
16,1,16,2,0.533610,53.432
16,1,16,3,0.538250,53.889
16,1,16,4,0.538600,53.929
16,1,16,5,0.534260,53.490
19,1,19,1,0.475570,47.617
19,1,19,2,0.471970,47.269
19,1,19,3,0.477810,47.848
19,1,19,4,0.459720,46.041
19,1,19,5,0.476560,47.716
32,1,32,1,0.310070,31.083
32,1,32,2,0.312150,31.289
32,1,32,3,0.307640,30.838
32,1,32,4,0.315840,31.658
32,1,32,5,0.309180,30.991
38,1,38,1,0.274260,27.503
38,1,38,2,0.274700,27.552
38,1,38,3,0.272970,27.373
38,1,38,4,0.273750,27.452
38,1,38,5,0.273420,27.420
76,1,76,1,0.182590,18.414
76,1,76,2,0.184570,18.617
76,1,76,3,0.191440,19.373
76,1,76,4,0.184770,18.646
76,1,76,5,0.179500,18.110
