# branch:      upstream-master
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/master/cp2k.psmp
# N_molecules: 256
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per core count
# mpi_ranks,omp_threads,total_cores,rep,time_per_step_s,walltime_s
1,1,1,1,0.832920,83.693
1,1,1,2,0.829520,83.342
1,1,1,3,0.826170,83.006
1,1,1,4,0.834390,83.845
1,1,1,5,0.829410,83.332
2,1,2,1,0.458550,46.263
2,1,2,2,0.457040,46.099
2,1,2,3,0.455320,45.932
2,1,2,4,0.459960,46.393
2,1,2,5,0.455900,46.005
4,1,4,1,0.250780,25.482
4,1,4,2,0.248510,25.250
4,1,4,3,0.247950,25.201
4,1,4,4,0.249960,25.407
4,1,4,5,0.250920,25.500
8,1,8,1,0.126730,13.077
8,1,8,2,0.126880,13.100
8,1,8,3,0.127010,13.112
8,1,8,4,0.126820,13.093
8,1,8,5,0.127600,13.170
16,1,16,1,0.066560,7.074
16,1,16,2,0.066420,7.056
16,1,16,3,0.066630,7.074
16,1,16,4,0.066190,7.032
16,1,16,5,0.066410,7.048
32,1,32,1,0.037630,4.189
32,1,32,2,0.037430,4.166
32,1,32,3,0.037260,4.183
32,1,32,4,0.037410,4.168
32,1,32,5,0.037480,4.177
64,1,64,1,0.023070,2.877
64,1,64,2,0.023090,3.008
64,1,64,3,0.023170,2.846
64,1,64,4,0.023330,2.876
64,1,64,5,0.023090,2.850
76,1,76,1,0.051350,5.798
76,1,76,2,0.045270,5.182
76,1,76,3,0.044510,5.086
76,1,76,4,0.045040,5.459
76,1,76,5,0.045060,5.147
