# branch:      feature-nnp-native-spline
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline/cp2k.psmp
# MPI ranks:   76
# OMP threads: 1
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.038420,4.213
64,2,0.038220,4.001
64,3,0.040300,4.209
64,4,0.038630,4.046
64,5,0.040670,4.245
256,1,0.039200,4.603
256,2,0.037240,4.386
256,3,0.037440,4.463
256,4,0.036530,4.283
256,5,0.048060,5.455
512,1,0.043950,6.595
512,2,0.045370,6.737
512,3,0.051180,7.320
512,4,0.045620,7.521
512,5,0.045340,6.764
1024,1,0.077310,7.889
1024,2,0.069280,7.251
1024,3,0.067050,6.922
1024,4,0.073230,7.493
1024,5,0.073860,7.560
2048,1,0.118360,12.057
2048,2,0.105430,10.753
2048,3,0.112950,11.505
2048,4,0.107960,10.984
2048,5,0.113370,11.584
4096,1,0.207670,21.076
4096,2,0.201140,20.512
4096,3,0.204330,20.676
4096,4,0.204690,20.741
4096,5,0.203310,20.604
