# branch:      feature-nnp-native-spline-omp
# exe:         /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-native-spline-omp/cp2k.psmp
# MPI ranks:   38
# OMP threads: 2
# total cores: 76
# steps:       100
# reps:        5 timed (+1 discarded warm-up) per size
# n_molecules,rep,time_per_step_s,walltime_s
64,1,0.023510,2.499
64,2,0.008310,0.948
64,3,0.008700,0.992
64,4,0.008340,0.934
64,5,0.024590,2.581
256,1,0.049220,5.412
256,2,0.020680,2.532
256,3,0.019920,2.464
256,4,0.020100,2.474
256,5,0.045270,5.024
512,1,0.032500,4.853
512,2,0.065630,8.197
512,3,0.033080,5.191
512,4,0.032700,4.963
512,5,0.062040,7.831
1024,1,0.091940,9.317
1024,2,0.068730,6.980
1024,3,0.088270,8.957
1024,4,0.067530,6.842
1024,5,0.069870,7.106
2048,1,0.139770,14.079
2048,2,0.161140,16.260
2048,3,0.149220,15.028
2048,4,0.145390,14.635
2048,5,0.151940,15.362
4096,1,0.283160,28.458
4096,2,0.289340,29.076
4096,3,0.291500,29.306
4096,4,0.284090,28.542
4096,5,0.294850,29.619
